allele	layer	assay_id	assay_type	cell_type	description	ref_value	alt_value	raw_score	quantile_score	ref_signal_percentile	note
alt_1	chromatin_accessibility	DNASE/CL:0002551 DNase-seq/.	DNASE	fibroblast of dermis	DNASE:fibroblast of dermis	60.26880645751953	51.11212921142578	-0.23353354527761477	1.0	0.8535	
alt_1	chromatin_accessibility	DNASE/NTR:0000521 DNase-seq/.	DNASE	fibroblast of skin of left biceps	DNASE:fibroblast of skin of left biceps	36.70576095581055	31.253154754638672	-0.2253446848699657	1.0	0.8317	
alt_1	chromatin_accessibility	DNASE/NTR:0000522 DNase-seq/.	DNASE	fibroblast of skin of left quadriceps	DNASE:fibroblast of skin of left quadriceps	38.990516662597656	33.308250427246094	-0.22110236380303167	1.0	0.8306	
alt_1	tf_binding	CHIP_TF/EFO:0003072 TF ChIP-seq RCOR1/.	CHIP	SK-N-SH	CHIP:RCOR1:SK-N-SH	1206.0	1065.0	-0.17921823799584566	1.0	0.9015	
alt_1	tf_binding	CHIP_TF/EFO:0003072 TF ChIP-seq TCF12/.	CHIP	SK-N-SH	CHIP:TCF12:SK-N-SH	1358.0	1203.0	-0.1747100640076892	1.0	0.9925	
alt_1	tf_binding	CHIP_TF/EFO:0003072 TF ChIP-seq CHD2/.	CHIP	SK-N-SH	CHIP:CHD2:SK-N-SH	1030.0	932.0	-0.14409534651634975	1.0	0.8839	
alt_1	tss_activity	PROCAP/ENCSR801ECP/-	PRO_CAP	endothelial cell of umbilical vein	PRO_CAP:endothelial cell of umbilical vein	32.104366302490234	29.654672622680664	-0.11091451650388426	1.0	1.0	
alt_1	tss_activity	PROCAP/ENCSR860TYZ/-	PRO_CAP	MCF 10A	PRO_CAP:MCF 10A	5.749232292175293	5.292943477630615	-0.10098842376744291	1.0	1.0	
alt_1	tss_activity	PROCAP/ENCSR182QNJ/+	PRO_CAP	Caco-2	PRO_CAP:Caco-2	4.250319957733154	4.595666885375977	0.09190473606133215	1.0	1.0	
alt_1	histone_marks	CHIP_HISTONE/UBERON:0001383 Histone ChIP-seq H3K27ac/.	CHIP	muscle of leg	CHIP:H3K27ac:muscle of leg	1359.25	1269.75	-0.09819159761140621	1.0	0.8751	
alt_1	histone_marks	CHIP_HISTONE/EFO:0005723 Histone ChIP-seq H3K27ac/.	CHIP	GM23248	CHIP:H3K27ac:GM23248	3900.0	3666.0	-0.08924373231289613	1.0	0.9711	
alt_1	histone_marks	CHIP_HISTONE/CL:0002618 Histone ChIP-seq H3K27ac/.	CHIP	endothelial cell of umbilical vein	CHIP:H3K27ac:endothelial cell of umbilical vein	4728.75	4452.5	-0.08682433512315191	1.0	0.982	
alt_1	splicing	SPLICE_SITES/donor/+	SPLICE_SITES	SPLICE_SITES	SPLICE_SITES	0.27959322929382324	0.2719985544681549	-0.00858823275284511	1.0	0.906	
alt_1	splicing	SPLICE_SITES/acceptor/+	SPLICE_SITES	SPLICE_SITES	SPLICE_SITES	0.046246085315942764	0.044312819838523865	-0.0026682944022129998	1.0	0.8823	
alt_1	splicing	SPLICE_SITE_USAGE/usage_UBERON:0009834 total RNA-seq/+	SPLICE_SITES	dorsolateral prefrontal cortex	SPLICE_SITES:dorsolateral prefrontal cortex	0.010016754269599915	0.009732440114021301	-0.00040616788080190106	1.0	0.8146	
